"","diocese ID","root no","year","name"
"1","bal.md","01","1895","Baltimore"
"2","bal.md","01","1894","Baltimore"
"3","bal.md","01","1893","Baltimore"
"4","bal.md","01","1892",NA
"5","bal.md","01","1891","Baltimore"
"6","bal.md","01","1890","Baltimore"
"7","bal.md","01","1889","Baltimore"
"8","bal.md","01","1888","Baltimore"
"9","bal.md","01","1887","Baltimore"
"10","bal.md","01","1886","Baltimore"
"11","bal.md","01","1885","Baltimore"
"12","bal.md","01","1884","Baltimore"
"13","bal.md","01","1883","Baltimore"
"14","bal.md","01","1881","Baltimore"
"15","bal.md","01","1880","Baltimore"
"16","bal.md","01","1879","Baltimore"
"17","bal.md","01","1878","Baltimore"
"18","bal.md","01","1877","Baltimore"
"19","bal.md","01","1876","Baltimore"
"20","bal.md","01","1875","Baltimore"
"21","bal.md","01","1874","Baltimore"
"22","bal.md","01","1873","Baltimore"
"23","bal.md","01","1872","Baltimore"
"24","bal.md","01","1871","Baltimore"
"25","bal.md","01","1870","Baltimore"
"26","bal.md","01","1869","Baltimore"
"27","bal.md","01","1868","Baltimore"
"28","bal.md","01","1867","Baltimore"
"29","bal.md","01","1866","Baltimore"
"30","bal.md","01","1865","Baltimore"
"31","bal.md","01","1864","Baltimore"
"32","bal.md","01","TIME GAP (Civil War)",NA
"33","bal.md","01","1861","Baltimore"
"34","bal.md","01","1860","Baltimore"
"35","bal.md","01","1859","Baltimore"
"36","bal.md","01","1858","Baltimore"
"37","bal.md","01","1857","Baltimore"
"38","bal.md","01","1856","Baltimore"
"39","bal.md","01","1855","Baltimore"
"40","bal.md","01","1854","Baltimore"
"41","bal.md","01","1853","Baltimore"
"42","bal.md","01","1852","Baltimore"
"43","bal.md","01","1851","Baltimore"
"44","bal.md","01","1850","Baltimore"
"45","bal.md","01","1849","Baltimore"
"46","bal.md","01","1848","Baltimore"
"47","bal.md","01","1847","Baltimore"
"48","bal.md","01","1846","Baltimore"
"49","bal.md","01","1845","Baltimore"
"50","bal.md","01","1844","Baltimore"
"51","bal.md","01","1843","Baltimore"
"52","bal.md","01","1842","Baltimore"
"53","bal.md","01","1841","Baltimore"
"54","bal.md","01","1840","Baltimore"
"55","bal.md","01","1839","Baltimore"
"56","bal.md","01","1838","Baltimore"
"57","bal.md","01","1837","Baltimore"
"58","bal.md","01","1836","Baltimore"
"59","bal.md","01","1835","Baltimore"
"60","bal.md","01","1834","Baltimore"
"61","bos.ma","02","1895","Boston"
"62","bos.ma","02","1894","Boston"
"63","bos.ma","02","1893","Boston"
"64","bos.ma","02","1892",NA
"65","bos.ma","02","1891","Boston"
"66","bos.ma","02","1890","Boston"
"67","bos.ma","02","1889","Boston"
"68","bos.ma","02","1888","Boston"
"69","bos.ma","02","1887","Boston"
"70","bos.ma","02","1886","Boston"
"71","bos.ma","02","1885","Boston"
"72","bos.ma","02","1884","Boston"
"73","bos.ma","02","1883","Boston"
"74","bos.ma","02","1881","Boston"
"75","bos.ma","02","1880","Boston"
"76","bos.ma","02","1879","Boston"
"77","bos.ma","02","1878","Boston"
"78","bos.ma","02","1877","Boston"
"79","bos.ma","02","1876","Boston"
"80","bos.ma","02","1875","Boston"
"81","bos.ma","02","1874","Boston"
"82","bos.ma","02","1873","Boston"
"83","bos.ma","02","1872","Boston"
"84","bos.ma","02","1871","Boston"
"85","bos.ma","02","1870","Boston"
"86","bos.ma","02","1869","Boston"
"87","bos.ma","02","1868","Boston"
"88","bos.ma","02","1867","Boston"
"89","bos.ma","02","1866","Boston"
"90","bos.ma","02","1865","Boston"
"91","bos.ma","02","1864","Boston"
"92","bos.ma","02","TIME GAP (Civil War)",NA
"93","bos.ma","02","1861","Boston"
"94","bos.ma","02","1860","Boston"
"95","bos.ma","02","1859","Boston"
"96","bos.ma","02","1858","Boston"
"97","bos.ma","02","1857","Boston"
"98","bos.ma","02","1856","Boston"
"99","bos.ma","02","1855","Boston"
"100","bos.ma","02","1854","Boston"
"101","bos.ma","02","1853","Boston"
"102","bos.ma","02","1852","Boston"
"103","bos.ma","02","1851","Boston"
"104","bos.ma","02","1850","Boston"
"105","bos.ma","02","1849","Boston"
"106","bos.ma","02","1848","Boston"
"107","bos.ma","02","1847","Boston"
"108","bos.ma","02","1846","Boston"
"109","bos.ma","02","1845","Boston"
"110","bos.ma","02","1844","Boston"
"111","bos.ma","02","1843","Boston"
"112","bos.ma","02","1842","Boston"
"113","bos.ma","02","1841","Boston"
"114","bos.ma","02","1840","Boston"
"115","bos.ma","02","1839","Boston"
"116","bos.ma","02","1838","Boston"
"117","bos.ma","02","1837","Boston"
"118","bos.ma","02","1836","Boston"
"119","bos.ma","02","1835","Boston"
"120","bos.ma","02","1834","Boston"
"121","chi.il","03","1895","Chicago"
"122","chi.il","03","1894","Chicago"
"123","chi.il","03","1893","Chicago"
"124","chi.il","03","1892",NA
"125","chi.il","03","1891","Chicago"
"126","chi.il","03","1890","Chicago"
"127","chi.il","03","1889","Chicago"
"128","chi.il","03","1888","Chicago"
"129","chi.il","03","1887","Chicago"
"130","chi.il","03","1886","Chicago"
"131","chi.il","03","1885","Chicago"
"132","chi.il","03","1884","Chicago"
"133","chi.il","03","1883","Chicago"
"134","chi.il","03","1881","Chicago"
"135","chi.il","03","1880","Chicago"
"136","chi.il","03","1879","Chicago"
"137","chi.il","03","1878","Chicago"
"138","chi.il","03","1877","Chicago"
"139","chi.il","03","1876","Chicago"
"140","chi.il","03","1875","Chicago"
"141","chi.il","03","1874","Chicago"
"142","chi.il","03","1873","Chicago"
"143","chi.il","03","1872","Chicago"
"144","chi.il","03","1871","Chicago"
"145","chi.il","03","1870","Chicago"
"146","chi.il","03","1869","Chicago"
"147","chi.il","03","1868","Chicago"
"148","chi.il","03","1867","Chicago"
"149","chi.il","03","1866","Chicago"
"150","chi.il","03","1865","Chicago"
"151","chi.il","03","1864","Chicago"
"152","chi.il","03","TIME GAP (Civil War)",NA
"153","chi.il","03","1861","Chicago"
"154","chi.il","03","1860","Chicago"
"155","chi.il","03","1859","Chicago"
"156","chi.il","03","1858","Chicago"
"157","chi.il","03","1857","Chicago"
"158","chi.il","03","1856","Chicago"
"159","chi.il","03","1855","Chicago"
"160","chi.il","03","1854","Chicago"
"161","chi.il","03","1853","Chicago"
"162","chi.il","03","1852","Chicago"
"163","chi.il","03","1851","Chicago"
"164","chi.il","03","1850","Chicago"
"165","chi.il","03","1849","Chicago"
"166","chi.il","03","1848","Chicago"
"167","chi.il","03","1847","Chicago"
"168","chi.il","03","1846","Chicago"
"169","chi.il","03","1845","Chicago"
"170","chi.il","03","1844","Chicago"
"171","chi.il","03","1843",NA
"172","chi.il","03","1842",NA
"173","chi.il","03","1841",NA
"174","chi.il","03","1840",NA
"175","chi.il","03","1839",NA
"176","chi.il","03","1838",NA
"177","chi.il","03","1837",NA
"178","chi.il","03","1836",NA
"179","chi.il","03","1835",NA
"180","chi.il","03","1834",NA
"181","cin.oh","04","1895","Cincinnati"
"182","cin.oh","04","1894","Cincinnati"
"183","cin.oh","04","1893","Cincinnati"
"184","cin.oh","04","1892",NA
"185","cin.oh","04","1891","Cincinnati"
"186","cin.oh","04","1890","Cincinnati"
"187","cin.oh","04","1889","Cincinnati"
"188","cin.oh","04","1888","Cincinnati"
"189","cin.oh","04","1887","Cincinnati"
"190","cin.oh","04","1886","Cincinnati"
"191","cin.oh","04","1885","Cincinnati"
"192","cin.oh","04","1884","Cincinnati"
"193","cin.oh","04","1883","Cincinnati"
"194","cin.oh","04","1881","Cincinnati"
"195","cin.oh","04","1880","Cincinnati"
"196","cin.oh","04","1879","Cincinnati"
"197","cin.oh","04","1878","Cincinnati"
"198","cin.oh","04","1877","Cincinnati"
"199","cin.oh","04","1876","Cincinnati"
"200","cin.oh","04","1875","Cincinnati"
"201","cin.oh","04","1874","Cincinnati"
"202","cin.oh","04","1873","Cincinnati"
"203","cin.oh","04","1872","Cincinnati"
"204","cin.oh","04","1871","Cincinnati"
"205","cin.oh","04","1870","Cincinnati"
"206","cin.oh","04","1869","Cincinnati"
"207","cin.oh","04","1868","Cincinnati"
"208","cin.oh","04","1867","Cincinnati"
"209","cin.oh","04","1866","Cincinnati"
"210","cin.oh","04","1865","Cincinnati"
"211","cin.oh","04","1864","Cincinnati"
"212","cin.oh","04","TIME GAP (Civil War)",NA
"213","cin.oh","04","1861","Cincinnati"
"214","cin.oh","04","1860","Cincinnati"
"215","cin.oh","04","1859","Cincinnati"
"216","cin.oh","04","1858","Cincinnati"
"217","cin.oh","04","1857","Cincinnati"
"218","cin.oh","04","1856","Cincinnati"
"219","cin.oh","04","1855","Cincinnati"
"220","cin.oh","04","1854","Cincinnati"
"221","cin.oh","04","1853","Cincinnati"
"222","cin.oh","04","1852","Cincinnati"
"223","cin.oh","04","1851","Cincinnati"
"224","cin.oh","04","1850","Cincinnati"
"225","cin.oh","04","1849","Cincinnati"
"226","cin.oh","04","1848","Cincinnati"
"227","cin.oh","04","1847","Cincinnati"
"228","cin.oh","04","1846","Cincinnati"
"229","cin.oh","04","1845","Cincinnati"
"230","cin.oh","04","1844","Cincinnati"
"231","cin.oh","04","1843","Cincinnati"
"232","cin.oh","04","1842","Cincinnati"
"233","cin.oh","04","1841","Cincinnati"
"234","cin.oh","04","1840","Cincinnati"
"235","cin.oh","04","1839","Cincinnati"
"236","cin.oh","04","1838","Cincinnati"
"237","cin.oh","04","1837","Cincinnati"
"238","cin.oh","04","1836","Cincinnati"
"239","cin.oh","04","1835","Cincinnati"
"240","cin.oh","04","1834","Cincinnati"
"241","dub.ia","05","1895","Dubuque"
"242","dub.ia","05","1894","Dubuque"
"243","dub.ia","05","1893","Dubuque"
"244","dub.ia","05","1892",NA
"245","dub.ia","05","1891","Dubuque"
"246","dub.ia","05","1890","Dubuque"
"247","dub.ia","05","1889","Dubuque"
"248","dub.ia","05","1888","Dubuque"
"249","dub.ia","05","1887","Dubuqe"
"250","dub.ia","05","1886","Dubuque"
"251","dub.ia","05","1885","Dubuque"
"252","dub.ia","05","1884","Dubuque"
"253","dub.ia","05","1883","Dubuque"
"254","dub.ia","05","1881","Dubuque"
"255","dub.ia","05","1880","Dubuque"
"256","dub.ia","05","1879","Dubuque"
"257","dub.ia","05","1878","Dubuque"
"258","dub.ia","05","1877","Dubuque"
"259","dub.ia","05","1876","Dubuque"
"260","dub.ia","05","1875","Dubuque"
"261","dub.ia","05","1874","Dubuque"
"262","dub.ia","05","1873","Dubuque"
"263","dub.ia","05","1872","Dubuque"
"264","dub.ia","05","1871","Dubuque"
"265","dub.ia","05","1870","Dubuque"
"266","dub.ia","05","1869","Dubuque"
"267","dub.ia","05","1868","Dubuque"
"268","dub.ia","05","1867","Dubuque"
"269","dub.ia","05","1866","Dubuque"
"270","dub.ia","05","1865","Dubuque"
"271","dub.ia","05","1864","Dubuque"
"272","dub.ia","05","TIME GAP (Civil War)",NA
"273","dub.ia","05","1861","Dubuque"
"274","dub.ia","05","1860","Dubuque"
"275","dub.ia","05","1859","Dubuque"
"276","dub.ia","05","1858","Dubuque"
"277","dub.ia","05","1857","Dubuque"
"278","dub.ia","05","1856","Dubuque"
"279","dub.ia","05","1855","Dubuque"
"280","dub.ia","05","1854","Dubuque"
"281","dub.ia","05","1853","Dubuque"
"282","dub.ia","05","1852","Dubuque"
"283","dub.ia","05","1851","Dubuque"
