"","instID","instName","year","count_ids","count_names","diocese"
"1","alb.ny.0008","St. Nicholas",1868,3,1,"alb"
"2","alb.ny.0008","Angel's Guardian",1869,3,1,"alb"
"3","alb.ny.0008","Our Lady of Angels",1870,3,1,"alb"
"4","alb.ny.0029","St. Peter's",1868,3,2,"alb"
"5","alb.ny.0029","St. Peter's",1869,3,2,"alb"
"6","alb.ny.0029","St. Mary's",1870,3,1,"alb"
"7","alb.ny.0053","St. Mary's",1868,3,1,"alb"
"8","alb.ny.0053","St. Patrick's",1869,3,2,"alb"
"9","alb.ny.0053","St. Patrick's",1870,3,2,"alb"
"10","alb.ny.0055","St. Mary's",1868,3,2,"alb"
"11","alb.ny.0055","St. Mary's",1869,3,2,"alb"
"12","alb.ny.0055","St. Joseph's",1870,3,1,"alb"
"13","alb.ny.0057","St. Lawrence",1868,3,2,"alb"
"14","alb.ny.0057","St. Lawrence",1869,3,2,"alb"
"15","alb.ny.0057","St. Mary's",1870,3,1,"alb"
"16","alb.ny.0085","St. —",1868,3,2,"alb"
"17","alb.ny.0085","St. —",1869,3,2,"alb"
"18","alb.ny.0085","St. Mary of the Vale",1870,3,1,"alb"
"19","alb.ny.0086","St. —",1868,3,1,"alb"
"20","alb.ny.0086","St. Mary's",1869,3,2,"alb"
"21","alb.ny.0086","St. Mary's",1870,3,2,"alb"
"22","alb.ny.0094","—",1868,2,1,"alb"
"23","alb.ny.0094","St. Peter's",1870,2,1,"alb"
"24","alb.ny.0122","—",1868,3,2,"alb"
"25","alb.ny.0122","—",1869,3,2,"alb"
"26","alb.ny.0122","Immaculate Conception",1870,3,1,"alb"
"27","alb.ny.0125","St. —",1868,3,1,"alb"
"28","alb.ny.0125","—",1869,3,2,"alb"
"29","alb.ny.0125","—",1870,3,2,"alb"
"30","alb.ny.0126","St. Ambrose",1868,3,1,"alb"
"31","alb.ny.0126","Church of Angel Guardians",1869,3,2,"alb"
"32","alb.ny.0126","Church of Angel Guardians",1870,3,2,"alb"
"33","alb.ny.0127","St. —",1868,3,1,"alb"
"34","alb.ny.0127","—",1869,3,1,"alb"
"35","alb.ny.0127","St. Joseph's",1870,3,1,"alb"
"36","alb.ny.0129","St. —",1868,3,1,"alb"
"37","alb.ny.0129","St. John Baptist",1869,3,2,"alb"
"38","alb.ny.0129","St. John Baptist",1870,3,2,"alb"
"39","alb.ny.0131","St. —",1868,3,1,"alb"
"40","alb.ny.0131","St. Patrick's",1869,3,2,"alb"
"41","alb.ny.0131","St. Patrick's",1870,3,2,"alb"
"42","alb.ny.0142","St. Mary's",1868,3,2,"alb"
"43","alb.ny.0142","St. Mary's",1869,3,2,"alb"
"44","alb.ny.0142","St. Patrick's",1870,3,1,"alb"
"45","alb.ny.0223","St. John the Baptist",1869,2,1,"alb"
"46","alb.ny.0223","St. Peter's",1870,2,1,"alb"
"47","alb.ny.0224","St. Joseph's Church",1869,2,1,"alb"
"48","alb.ny.0224","St. John Baptist",1870,2,1,"alb"
"49","alb.ny.0244","St. Mary's",1869,2,1,"alb"
"50","alb.ny.0244","St. Mary's,",1870,2,1,"alb"
"51","alt.il.0002","St. Mary's of the Immaculate Conception",1864,7,1,"alt"
"52","alt.il.0002","St. Mary's",1865,7,5,"alt"
"53","alt.il.0002","St. Mary's",1866,7,5,"alt"
"54","alt.il.0002","St. Mary's",1867,7,5,"alt"
"55","alt.il.0002","Immaculate Conception",1868,7,1,"alt"
"56","alt.il.0002","St. Mary's",1869,7,5,"alt"
"57","alt.il.0002","St. Mary's",1870,7,5,"alt"
"58","alt.il.0008","St. Francis' Assisi",1865,6,1,"alt"
"59","alt.il.0008","St. Francis' of Assisi",1866,6,1,"alt"
"60","alt.il.0008","St. Francis of Assisium",1867,6,1,"alt"
"61","alt.il.0008","St. Francis of Assisi",1868,6,3,"alt"
"62","alt.il.0008","St. Francis of Assisi",1869,6,3,"alt"
"63","alt.il.0008","St. Francis of Assisi",1870,6,3,"alt"
"64","alt.il.0009","St. Alexius'",1864,7,4,"alt"
"65","alt.il.0009","St. Alexius'",1865,7,4,"alt"
"66","alt.il.0009","St. Alexius'",1866,7,4,"alt"
"67","alt.il.0009","St. Alexius'",1867,7,4,"alt"
"68","alt.il.0009","St. Alexius",1868,7,3,"alt"
"69","alt.il.0009","St. Alexius",1869,7,3,"alt"
"70","alt.il.0009","St. Alexius",1870,7,3,"alt"
"71","alt.il.0013","St. John's",1865,6,4,"alt"
"72","alt.il.0013","St. John's",1866,6,4,"alt"
"73","alt.il.0013","St. John's",1867,6,4,"alt"
"74","alt.il.0013","St. John's",1868,6,4,"alt"
"75","alt.il.0013","St. John Baptist",1869,6,2,"alt"
"76","alt.il.0013","St. John Baptist",1870,6,2,"alt"
"77","alt.il.0015","St. Boniface's",1869,2,1,"alt"
"78","alt.il.0015","St. Rose's",1870,2,1,"alt"
"79","alt.il.0018","Immaculate Conception",1864,7,6,"alt"
"80","alt.il.0018","Immaculate Conception",1865,7,6,"alt"
"81","alt.il.0018","Immaculate Conception",1866,7,6,"alt"
"82","alt.il.0018","Immaculate Conception",1867,7,6,"alt"
"83","alt.il.0018","Immaculate Conception",1868,7,6,"alt"
"84","alt.il.0018","Immaculate Conception",1869,7,6,"alt"
"85","alt.il.0018","St. Mary's",1870,7,1,"alt"
"86","alt.il.0023","Immaculate Conception",1865,6,4,"alt"
"87","alt.il.0023","Immaculate Conception",1866,6,4,"alt"
"88","alt.il.0023","Immaculate Conception",1867,6,4,"alt"
"89","alt.il.0023","Immaculate Conception",1868,6,4,"alt"
"90","alt.il.0023","St. Mary's",1869,6,2,"alt"
"91","alt.il.0023","St. Mary's",1870,6,2,"alt"
"92","alt.il.0030","Help of Christians",1864,7,6,"alt"
"93","alt.il.0030","Help of Christians",1865,7,6,"alt"
"94","alt.il.0030","Help of Christians",1866,7,6,"alt"
"95","alt.il.0030","Help of Christians",1867,7,6,"alt"
"96","alt.il.0030","Help of Christians",1868,7,6,"alt"
